"year","last_name, first_name","pitcher_id","team_name","team_name_abbrev","pitch_hand","avg_speed","pitches_thrown","total_pitches","pitches_per_game","pitch_per","pitch_type","pitch_type_name","pitcher_break_z","league_break_z","diff_z","rise","pitcher_break_z_induced","pitcher_break_x","league_break_x","diff_x","tail","percent_rank_diff_z","percent_rank_diff_x"
"2023","Strider, Spencer","675911","Braves","ATL","R","97.2","1823","3100",19.135802469135804,0.5880645161290322,"FF","4-Seam Fastball",10.6,-13.1,2.5,"19",18.4,6,-7.7,-1.6,"-21",0.9611650485436893,0.25970873786407767
"2023","Cole, Gerrit","543037","Yankees","NYY","R","96.7","1736","3281",20.253086419753085,0.5291069795793966,"FF","4-Seam Fastball",12,-13.6,1.6,"12",17.4,8.4,-7.9,0.5,"6",0.8640776699029126,0.5266990291262136
"2023","Burnes, Corbin","669203","Brewers","MIL","R","94.4","1705","3079",19.006172839506174,0.5537512179278987,"FC","Cutter",19.2,-19.6,0.5,"2",11.2,3.1,2.1,1,"48",0.6134969325153374,0.7116564417177914
"2023","Javier, Cristian","664299","Astros","HOU","R","92.8","1672","2882",17.790123456790123,0.5801526717557252,"FF","4-Seam Fastball",13.3,-16,2.7,"17",18.6,5.6,-7.5,-2,"-26",0.9757281553398058,0.21844660194174756
"2023","Steele, Justin","657006","Cubs","CHC","L","91.8","1619","2678",16.530864197530864,0.6045556385362211,"FF","4-Seam Fastball",21.5,-16.2,-5.3,"-33",10.8,1.3,-6.4,-7.6,"-120",0.01699029126213592,0.009708737864077669
"2023","Gallen, Zac","668678","D-backs","AZ","R","93.5","1614","3248",20.049382716049383,0.49692118226600984,"FF","4-Seam Fastball",14.4,-15.1,0.8,"5",17,3,-6.8,-3.9,"-57",0.6966019417475728,0.0825242718446602
"2023","Gausman, Kevin","592332","Blue Jays","TOR","R","94.7","1555","3069",18.944444444444443,0.5066797002280873,"FF","4-Seam Fastball",13.8,-14.8,1,"7",16.9,10.6,-7.4,3.2,"43",0.7402912621359223,0.837378640776699
"2023","Snell, Blake","605483","Padres","SD","L","95.5","1539","3168",19.555555555555557,0.48579545454545453,"FF","4-Seam Fastball",11.4,-13,1.6,"12",18.8,4.6,-5.7,-1.1,"-20",0.8640776699029126,0.32281553398058255
"2023","Ryan, Joe","657746","Twins","MIN","R","92.3","1525","2683",16.561728395061728,0.5683935892657473,"FF","4-Seam Fastball",17.5,-17.8,0.2,"1",14.6,10.3,-9.4,0.9,"10",0.5849514563106796,0.5776699029126213
"2023","Heaney, Andrew","571760","Rangers","TEX","L","92.5","1505","2603",16.067901234567902,0.5781790242028428,"FF","4-Seam Fastball",18.3,-17.6,-0.8,"-4",13.9,15.9,-9.4,6.4,"68",0.33737864077669905,0.9878640776699029
"2023","Kopech, Michael","656629","White Sox","CWS","R","95.2","1494","2430",15,0.6148148148148148,"FF","4-Seam Fastball",13.1,-14.5,1.4,"10",17.2,9,-7.5,1.5,"19",0.8446601941747572,0.6699029126213593
"2023","Gore, MacKenzie","669022","Nationals","WSH","L","95","1462","2462",15.197530864197532,0.5938261575954509,"FF","4-Seam Fastball",12.9,-14.1,1.2,"8",17.4,4.2,-6.9,-2.6,"-38",0.7888349514563107,0.15776699029126215
"2023","Peralta, Freddy","642547","Brewers","MIL","R","94.4","1453","2839",17.52469135802469,0.5117999295526594,"FF","4-Seam Fastball",15.3,-16.1,0.8,"5",15.5,6.9,-8.8,-1.9,"-21",0.6966019417475728,0.23058252427184467
"2023","Sears, JP","676664","Athletics","OAK","L","93.1","1437","2867",17.69753086419753,0.5012207882804325,"FF","4-Seam Fastball",16.9,-17.2,0.3,"2",14.7,11.2,-9.4,1.7,"18",0.5995145631067961,0.7038834951456311
"2023","Castillo, Luis","622491","Mariners","SEA","R","96.3","1419","3207",19.796296296296298,0.4424695977549111,"FF","4-Seam Fastball",16,-15.6,-0.4,"-3",13.6,12,-10.6,1.4,"13",0.4053398058252427,0.6553398058252428
"2023","Cease, Dylan","656302","White Sox","CWS","R","95.6","1408","3262",20.135802469135804,0.4316370324954016,"FF","4-Seam Fastball",11.2,-13.7,2.6,"19",18.8,3.2,-7,-3.9,"-55",0.9660194174757282,0.0825242718446602
"2023","Waldichuk, Ken","686610","Athletics","OAK","L","93.3","1386","2553",15.75925925925926,0.5428907168037603,"FF","4-Seam Fastball",16.3,-15.8,-0.5,"-3",15.2,10.2,-7.4,2.7,"37",0.38106796116504854,0.7864077669902912
"2023","Lynn, Lance","458681","Dodgers","LAD","R","92.4","1384","3167",19.549382716049383,0.4370066308809599,"FF","4-Seam Fastball",18.4,-16.3,-2.2,"-13",13.5,3.2,-7.2,-4.1,"-56",0.14320388349514562,0.07281553398058252
"2023","Valdez, Framber","664285","Astros","HOU","L","95.3","1372","2952",18.22222222222222,0.46476964769647694,"SI","Sinker",20.5,-20.8,-0.4,"-2",9.9,15.8,-14.9,0.9,"6",0.48375451263537905,0.6642599277978339
"2023","Wheeler, Zack","554430","Phillies","PHI","R","95.8","1358","3155",19.47530864197531,0.43042789223454836,"FF","4-Seam Fastball",14.5,-14.6,0.1,"1",15.3,6.3,-8,-1.7,"-21",0.5533980582524272,0.25
"2023","Giolito, Lucas","608337","Guardians","CLE","R","93.1","1336","3190",19.691358024691358,0.4188087774294671,"FF","4-Seam Fastball",13.5,-14.8,1.3,"9",18.1,5.5,-5.9,-0.4,"-7",0.8131067961165048,0.41019417475728154
"2023","Webb, Logan","657277","Giants","SF","R","87.5","1324","3182",19.641975308641975,0.41609050911376494,"CH","Changeup",40,-33.8,6.2,"18",-4.4,11.3,-14.3,-3,"-21",0.9779411764705882,0.07352941176470588
"2023","Verlander, Justin","434378","Astros","HOU","R","94.3","1302","2602",16.061728395061728,0.5003843197540354,"FF","4-Seam Fastball",12.2,-13.4,1.3,"9",18.8,8,-6,1.9,"32",0.8131067961165048,0.7160194174757282
"2023","Singer, Brady","663903","Royals","KC","R","92.1","1294","2612",16.123456790123456,0.49540581929555894,"SI","Sinker",22.8,-24.9,-2.2,"-9",9.4,13.1,-15.1,-2,"-13",0.20938628158844766,0.11552346570397112
"2023","Nelson, Ryne","669194","D-backs","AZ","R","94.4","1283","2355",14.537037037037036,0.5447983014861996,"FF","4-Seam Fastball",12.6,-14.6,1.9,"13",18.1,4.1,-6.9,-2.7,"-40",0.9053398058252428,0.15048543689320387
"2023","Kikuchi, Yusei","579328","Blue Jays","TOR","L","95.1","1270","2818",17.395061728395063,0.45067423704755144,"FF","4-Seam Fastball",14.3,-15.2,1,"7",16.2,9.8,-8.3,1.5,"18",0.7402912621359223,0.6699029126213593
"2023","Cease, Dylan","656302","White Sox","CWS","R","86.3","1260","3262",20.135802469135804,0.38626609442060084,"SL","Slider",34.7,-35,-0.4,"-1",1.9,2.5,4.4,-1.9,"-43",0.45302013422818793,0.28859060402684567
"2023","Brown, Hunter","686613","Astros","HOU","R","95.7","1256","2720",16.790123456790123,0.46176470588235297,"FF","4-Seam Fastball",13.1,-13.6,0.4,"3",16.9,6.1,-6.9,-0.8,"-11",0.6140776699029126,0.36650485436893204
"2023","Megill, Tylor","656731","Mets","NYM","R","94.9","1242","2235",13.796296296296296,0.5557046979865772,"FF","4-Seam Fastball",15.7,-14,-1.7,"-12",14.7,7.7,-6.7,1,"15",0.2087378640776699,0.6019417475728155
"2023","Montgomery, Jordan","656756","Rangers","TEX","L","93.3","1240","2920",18.02469135802469,0.4246575342465753,"SI","Sinker",20.9,-21,-0.1,"0",10.5,15.4,-14.5,1,"7",0.5379061371841155,0.6787003610108303
"2023","Luzardo, Jesús","666200","Marlins","MIA","L","96.7","1235","2988",18.444444444444443,0.41331994645247655,"FF","4-Seam Fastball",15.3,-14.2,-1.1,"-8",14.1,13.9,-9.3,4.6,"50",0.2936893203883495,0.9466019417475728
"2023","Bassitt, Chris","605135","Blue Jays","TOR","R","91.9","1232","3139",19.376543209876544,0.3924816820643517,"SI","Sinker",23.8,-24.2,-0.4,"-2",8.7,15.9,-15.1,0.8,"6",0.48375451263537905,0.6245487364620939
"2023","Ashcraft, Graham","668933","Reds","CIN","R","95.8","1227","2324",14.345679012345679,0.5279690189328744,"FC","Cutter",22.8,-21.8,-1,"-4",6.8,2.1,1.7,0.3,"19",0.37423312883435583,0.5337423312883436
"2023","Morton, Charlie","450203","Braves","ATL","R","82.3","1227","2842",17.54320987654321,0.4317382125263899,"CU","Curveball",48.3,-47.4,0.8,"2",-7.8,13.6,9.4,4.2,"45",0.5454545454545454,0.8772727272727273
"2023","Miller, Bryce","682243","Mariners","SEA","R","95.1","1216","2095",12.932098765432098,0.5804295942720764,"FF","4-Seam Fastball",11.8,-14.7,2.9,"20",18.4,3.5,-7.9,-4.4,"-56",0.9902912621359223,0.06310679611650485
"2023","Corbin, Patrick","571578","Nationals","WSH","L","92.1","1208","2922",18.037037037037038,0.4134154688569473,"SI","Sinker",21.9,-22.5,-0.6,"-3",10.4,14.5,-14.8,-0.2,"-1",0.45126353790613716,0.36823104693140796
"2023","Pivetta, Nick","601713","Red Sox","BOS","R","94.6","1204","2383",14.709876543209877,0.5052454888795636,"FF","4-Seam Fastball",10.7,-13.4,2.8,"21",20,4,-5.5,-1.4,"-26",0.9854368932038835,0.28398058252427183
"2023","Gilbert, Logan","669302","Mariners","SEA","R","95.7","1203","2922",18.037037037037038,0.41170431211498976,"FF","4-Seam Fastball",12.8,-13.3,0.4,"3",17,6.1,-6.2,-0.1,"-2",0.6140776699029126,0.44902912621359226
"2023","Smyly, Drew","592767","Cubs","CHC","L","78.6","1187","2401",14.820987654320987,0.4943773427738442,"CU","Curveball",46.3,-54.5,-8.2,"-15",-2.2,3.2,5.5,-8.7,"-157",0.05454545454545454,0
"2023","Gausman, Kevin","592332","Blue Jays","TOR","R","86.3","1174","3069",18.944444444444443,0.38253502769631803,"FS","Split-Finger",32.2,-33.1,-0.9,"-3",4.7,16.3,-12,4.4,"36",0.35294117647058826,1
"2023","Scherzer, Max","453286","Rangers","TEX","R","93.7","1141","2465",15.216049382716049,0.46288032454361056,"FF","4-Seam Fastball",15.5,-15.8,0.3,"2",15.8,10.8,-8.1,2.7,"33",0.5995145631067961,0.7864077669902912
