"player_id","player_name","team_name","start_year","end_year","sb_attempts","catcher_stealing_runs","caught_stealing_above_average","n_cs","rate_cs","est_cs_pct","cs_aa_per_throw","seasonal_runner_speed","runner_distance_from_second","pop_time","exchange_time","arm_strength","n_xcs_with_flight_over_xcs","n_xcs_with_exchange_over_xcs","n_xcs_with_accuracy_over_xcs","n_xcs_with_ground_other_over_xcs","n_xcs_with_onfly_other_over_xcs","n_xcs_with_untracked_other_over_xcs"
455117,"Maldonado, Martín","SD",2025,2025,3,-0.330757670566172,-0.5088579547171876,0,0,0.16961931823906257,-0.16961931823906257,"28.266666667",54.17165518625623,"1.9555","0.6655","81.862685",0.04218510231529141,-0.3374631237459806,0.25382352126899554,0,-0.46740345455549404,0
518595,"d'Arnaud, Travis","LAA",2025,2025,4,-0.18044338710778401,-0.2776052109350523,1,0.25,0.3194013027337631,-0.06940130273376308,"28.25",56.344513984493744,"1.92725","0.641","75.9625425",-0.26709608828432146,0.147579690720852,0.05651230084518466,0,-0.2146011142167675,0
521692,"Perez, Salvador","KC",2025,2025,2,0.27931738208919926,0.4297190493679989,1,0.5,0.28514047531600056,0.2148595246839994,"28.25",50.37956944821582,"1.911","0.565","76.38266",-0.0856243350173877,0.212146978462465,0.3031964059229216,0,-5.551115123125783e-17,0
543309,"Higashioka, Kyle","TEX",2025,2025,12,-1.159963889530665,-1.784559830047177,0,0,0.14871331917059805,-0.14871331917059805,"28.808333333",54.7579042766879,"2.003416667","0.638083333","73.641119167",-1.2037224275296405,0.5636143881615525,-0.6893533498576995,0.097874410822927,-0.5529728516443163,0
543877,"Vázquez, Christian","MIN",2025,2025,5,0.16483393314152722,0.25359066637158034,1,0.2,0.14928186672568391,0.050718133274316055,"29.24",55.75804519834007,"2.013","0.633","76.830605",-0.12820678096683455,0.10431430971311519,-0.18392784217591812,0.4695264504414609,0,-0.008115470640243004
553869,"Díaz, Elias","SD",2025,2025,5,0.8998750925575975,1.3844232193193806,2,0.39999999999999997,0.12311535613612387,0.2768846438638761,"28.48",53.20079887496298,"1.92475","0.63275","80.4105675",0.11016637994489653,0.29719032916138266,0.11765555364701613,0,0.8594109565660853,0
592663,"Realmuto, J.T.","PHI",2025,2025,10,1.0667428539528403,1.641142852235139,3,0.3,0.1358857147764861,0.1641142852235139,"28.61",53.066888163968265,"1.841","0.598857143","83.665658571",0.6780070592187559,0.8211984657151029,-0.2552143354277456,0.43720942611611113,-0.04005776338708533,0
595978,"Hedges, Austin","CLE",2025,2025,2,-0.26148268623054594,-0.4022810557393014,0,0,0.2011405278696507,-0.2011405278696507,"27.85",57.37432133120167,"1.909","0.633","80.47373",0.021880592815908928,-0.12215109753695921,0.14138553375282437,0,-0.4433960847710755,0
605131,"Barnes, Austin","LAD",2025,2025,2,-0.3836520858962491,-0.5902339783019217,0,0,0.29511698915096085,-0.29511698915096085,"28.4",58.70196649540364,"2.168","0.8","72.29592",-0.20670150985927183,-0.2758799052636228,-0.5213547992051878,0.41370223602616074,0,0
605170,"Caratini, Victor","HOU",2025,2025,7,-0.5139866551677605,-0.7907487002580932,0,0,0.11296410003687046,-0.11296410003687046,"29.057142857",54.808747164185355,"2.0646","0.6596","74.52864",-0.4522041876460292,-0.17286925979421244,-0.0110393201420666,2.7755575615628914e-17,-0.15463593267578507,0
606992,"Haase, Eric","MIL",2025,2025,3,0.8169981967941248,1.2569203027601918,2,0.6666666666666666,0.24769323241326938,0.4189734342533973,"28.7",57.05470346738667,"1.848","0.599","83.11352",0.33345183663129274,0.36485291704921535,0.48694910677843944,0,0.0716664423012443,0
607732,"Stallings, Jacob","COL",2025,2025,9,-0.026494693837807157,-0.04076106744278024,1,0.11111111111111113,0.11564011860475337,-0.0045290074936422285,"28.811111111",53.3602780099326,"1.866833333","0.6385","77.482113333",-0.1132355264471338,-0.11251818131135596,0.15088409282976778,-0.008852190764051443,0.042960738249993045,0
608348,"Kelly, Carson","CHC",2025,2025,4,0.359289585184004,0.5527532079753907,1,0.25,0.11181169800615234,0.13818830199384763,"27.675",51.865721891308226,"2.0615","0.7165","78.25564",-0.033609504278111615,-0.1383093179098355,0.1682354823411344,0.002625762572226256,0.5538107852499772,0
620443,"Torrens, Luis","NYM",2025,2025,4,1.2266997075989994,1.887230319383076,3,0.75,0.278192420154231,0.47180757984576893,"28.15",56.834001821895804,"1.916666667","0.599333333","82.014033333",0.27660781632923126,0.3667555367103784,0.638640394748355,0,0.6052265715951113,0
623168,"Heineman, Tyler","TOR",2025,2025,6,0.8308839444552893,1.2782829914696758,2,0.33333333333333337,0.12028616808838738,0.213047165244946,"29.066666667",55.44850005535268,"1.9426","0.5662","75.324356",-0.24442923985152162,0.829347907193594,0.18922152912106302,-0.008145101768271865,0.5122878967748121,0
624431,"Trevino, Jose","CIN",2025,2025,3,-0.2221826333057716,-0.3418194358550332,0,0,0.11393981195167774,-0.11393981195167774,"29.233333333",58.341514638501764,"2.03","0.6495","74.846995",-0.1354884791233858,-0.03839180461026871,-0.006995231584352279,0.029852458242860744,-0.19079637877988717,0
640902,"Pereda, Jhonny","ATH",2025,2025,2,0.20226146445537244,0.31117148377749604,1,0.5,0.344414258111252,0.15558574188874807,"28.15",58.540697079349584,"1.93","0.6655","82.79661",0.23838046985083666,0.048807477591905984,-0.27315379747834684,-0.2206826669717874,0.5178200007848877,0
