"year","last_name, first_name","pitcher_id","team_name","team_name_abbrev","pitch_hand","avg_speed","pitches_thrown","total_pitches","pitches_per_game","pitch_per","pitch_type","pitch_type_name","pitcher_break_z","league_break_z","diff_z","rise","pitcher_break_z_induced","pitcher_break_x","league_break_x","diff_x","tail","percent_rank_diff_z","percent_rank_diff_x"
"2024","Gore, MacKenzie","669022","Nationals","WSH","L","96","1657","2994",18.48148148148148,0.5534402137608551,"FF","4-Seam Fastball",12.1,-13.7,1.6,"11",17.6,5.9,-7.3,-1.4,"-19",0.8633093525179856,0.2853717026378897
"2024","Peralta, Freddy","642547","Brewers","MIL","R","94.3","1650","3066",18.925925925925927,0.538160469667319,"FF","4-Seam Fastball",14.2,-15.7,1.4,"9",16.7,6.8,-8.4,-1.6,"-19",0.829736211031175,0.24940047961630696
"2024","Rodón, Carlos","607074","Yankees","NYY","L","95.4","1530","3102",19.14814814814815,0.4932301740812379,"FF","4-Seam Fastball",12.4,-13.6,1.3,"9",17.8,8.8,-7.1,1.7,"24",0.8105515587529976,0.6954436450839329
"2024","Gausman, Kevin","592332","Blue Jays","TOR","R","94","1487","2958",18.25925925925926,0.5027045300878973,"FF","4-Seam Fastball",14.2,-15.2,1,"7",17,10.7,-7.4,3.3,"44",0.7386091127098321,0.8800959232613909
"2024","Greene, Hunter","668881","Reds","CIN","R","97.6","1415","2563",15.820987654320987,0.5520873975809598,"FF","4-Seam Fastball",12.2,-12.8,0.5,"4",16.6,8.9,-7.6,1.2,"16",0.6474820143884892,0.6354916067146283
"2024","Heaney, Andrew","571760","Rangers","TEX","L","91.6","1397","2731",16.858024691358025,0.5115342365433907,"FF","4-Seam Fastball",19.2,-18.5,-0.7,"-4",13.8,15.7,-10.3,5.4,"53",0.38848920863309355,0.9712230215827338
"2024","Cease, Dylan","656302","Padres","SD","R","96.9","1386","3188",19.679012345679013,0.4347553324968632,"FF","4-Seam Fastball",10.8,-13,2.2,"17",18.4,2.5,-7.4,-5,"-67",0.9376498800959233,0.05755395683453238
"2024","Kikuchi, Yusei","579328","Astros","HOU","L","95.5","1374","2923",18.15527950310559,0.4700650017105713,"FF","4-Seam Fastball",13.2,-14.8,1.6,"11",16.9,7.9,-8.4,-0.5,"-6",0.8633093525179856,0.407673860911271
"2024","Cease, Dylan","656302","Padres","SD","R","87.7","1371","3188",19.679012345679013,0.4300501882057716,"SL","Slider",33.6,-33.5,0.1,"0",1.9,2.2,4,-1.8,"-45",0.5111111111111111,0.2698412698412698
"2024","Burnes, Corbin","669203","Orioles","BAL","R","95.3","1348","2996",18.493827160493826,0.4499332443257677,"FC","Cutter",17.5,-18.3,0.8,"4",12.5,2.4,1.8,0.6,"37",0.6848484848484848,0.6484848484848484
"2024","Imanaga, Shota","684007","Cubs","CHC","L","91.7","1343","2590",15.987654320987655,0.5185328185328185,"FF","4-Seam Fastball",14.4,-17,2.6,"15",18.3,10.2,-8.1,2.1,"26",0.9688249400479616,0.7434052757793765
